sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,hist_chi2_fg_boundary,hist_chi2_fg_fg,mask_pixels,crop_h,crop_w
dark-skin-hand|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_gold|composite,dark-skin-hand,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_gold,composite,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_composite.png,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.2771121561527252,0.27099719643592834,7.40678055397183,0.5702924777626903,0.49312032381910265,737,34,78
dark-skin-hand|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_gold|diffusion,dark-skin-hand,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_gold,diffusion,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.035644132643938065,0.4613981246948242,16.217324521925203,0.5065116622689677,0.17112733199587443,737,34,78
dark-skin-hand|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_gold|hist,dark-skin-hand,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_gold,hist,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_hist.png,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.2351205050945282,0.3870742917060852,12.238535889763922,0.35896558232304,0.29529175489364323,737,34,78
dark-skin-hand|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_silver|composite,dark-skin-hand,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_silver,composite,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_composite.png,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.24667949974536896,0.28130483627319336,6.279780435969111,0.5948949352718996,0.5254154084416296,737,34,78
dark-skin-hand|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_silver|diffusion,dark-skin-hand,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_silver,diffusion,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.037235137075185776,0.4459223747253418,15.369958318585248,0.4688902304752918,0.18615877559311267,737,34,78
dark-skin-hand|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_silver|hist,dark-skin-hand,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_silver,hist,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_hist.png,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.2043832540512085,0.34652382135391235,9.612498369918212,0.3501794204019814,0.35815521062789996,737,34,78
dark-skin-hand|cinema_hall_4k|dark-skin-hand_golden-ring-test_gold|composite,dark-skin-hand,cinema_hall_4k,dark-skin-hand_golden-ring-test_gold,composite,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_composite.png,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_gt.png,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.32527294754981995,0.23114535212516785,7.157875167590969,0.9710086590732123,0.6196512119679747,1434,47,90
dark-skin-hand|cinema_hall_4k|dark-skin-hand_golden-ring-test_gold|diffusion,dark-skin-hand,cinema_hall_4k,dark-skin-hand_golden-ring-test_gold,diffusion,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_gt.png,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.24569642543792725,0.05465325340628624,10.653408213260347,0.34750384630471937,0.35308344254946455,1434,47,90
dark-skin-hand|cinema_hall_4k|dark-skin-hand_golden-ring-test_gold|hist,dark-skin-hand,cinema_hall_4k,dark-skin-hand_golden-ring-test_gold,hist,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_hist.png,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_gt.png,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.2195165753364563,0.23861147463321686,10.906000651389757,0.35241955761271837,0.18648340450803275,1434,47,90
dark-skin-hand|cinema_hall_4k|dark-skin-hand_golden-ring-test_silver|composite,dark-skin-hand,cinema_hall_4k,dark-skin-hand_golden-ring-test_silver,composite,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_silver_composite.png,./his2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_silver_gt.png,./restore2/dark-skin-hand/cinema_hall_4k/dark-skin-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.37254583835601807,0.2412833571434021,5.613694272261556,0.9818376742286018,0.6345265290433736,1434,47,90
