category,task,question_text,question_key,hand_name,hdr_key,jewelry_name,method,votes,total_votes,vote_share,sample_id,hdr_name,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,mask_pixels,crop_h,crop_w,source_csv
ring,identity,aged-hand_choose_aged-hand_golden-ring-test_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_golden-ring-test_gold,aged-hand_choose,indoor_pool,aged-hand_golden-ring-test_gold,diffusion,25,40,0.625,aged-hand_choose|indoor_pool_4k|aged-hand_golden-ring-test_gold|diffusion,indoor_pool_4k,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold/indoor_pool_4k_059_restored.png,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold/indoor_pool_4k_059_mask_restored.png,0.0344562754034996,0.4794076085090637,10.903771694405966,1908,54,99,metric_results_aged-hand_choose.csv
ring,aesthetic,aged-hand_choose_aged-hand_golden-ring-test_gold_indoor_pool_4k: In which picture does the jewelry look the most attractive?,aged-hand_choose|indoor_pool|aged-hand_golden-ring-test_gold,aged-hand_choose,indoor_pool,aged-hand_golden-ring-test_gold,diffusion,3,40,0.075,aged-hand_choose|indoor_pool_4k|aged-hand_golden-ring-test_gold|diffusion,indoor_pool_4k,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold/indoor_pool_4k_059_restored.png,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold/indoor_pool_4k_059_mask_restored.png,0.0344562754034996,0.4794076085090637,10.903771694405966,1908,54,99,metric_results_aged-hand_choose.csv
ring,identity,aged-hand_choose_aged-hand_golden-ring-test_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_golden-ring-test_gold,aged-hand_choose,indoor_pool,aged-hand_golden-ring-test_gold,hist,6,40,0.15,aged-hand_choose|indoor_pool_4k|aged-hand_golden-ring-test_gold|hist,indoor_pool_4k,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold_hist.png,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold/indoor_pool_4k_059_mask_restored.png,0.0624975822865963,0.6115682125091553,9.757304171283147,1908,54,99,metric_results_aged-hand_choose.csv
ring,aesthetic,aged-hand_choose_aged-hand_golden-ring-test_gold_indoor_pool_4k: In which picture does the jewelry look the most attractive?,aged-hand_choose|indoor_pool|aged-hand_golden-ring-test_gold,aged-hand_choose,indoor_pool,aged-hand_golden-ring-test_gold,hist,6,40,0.15,aged-hand_choose|indoor_pool_4k|aged-hand_golden-ring-test_gold|hist,indoor_pool_4k,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold_hist.png,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold/indoor_pool_4k_059_mask_restored.png,0.0624975822865963,0.6115682125091553,9.757304171283147,1908,54,99,metric_results_aged-hand_choose.csv
ring,identity,aged-hand_choose_aged-hand_golden-ring-test_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_golden-ring-test_gold,aged-hand_choose,indoor_pool,aged-hand_golden-ring-test_gold,composite,9,40,0.225,aged-hand_choose|indoor_pool_4k|aged-hand_golden-ring-test_gold|composite,indoor_pool_4k,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold_composite.png,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold/indoor_pool_4k_059_mask_restored.png,0.02221554890275,0.7273378372192383,10.301968821252467,1908,54,99,metric_results_aged-hand_choose.csv
ring,aesthetic,aged-hand_choose_aged-hand_golden-ring-test_gold_indoor_pool_4k: In which picture does the jewelry look the most attractive?,aged-hand_choose|indoor_pool|aged-hand_golden-ring-test_gold,aged-hand_choose,indoor_pool,aged-hand_golden-ring-test_gold,composite,31,40,0.775,aged-hand_choose|indoor_pool_4k|aged-hand_golden-ring-test_gold|composite,indoor_pool_4k,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold_composite.png,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_golden-ring-test_gold/indoor_pool_4k_059_mask_restored.png,0.02221554890275,0.7273378372192383,10.301968821252467,1908,54,99,metric_results_aged-hand_choose.csv
ring,identity,aged-hand_choose_aged-hand_ch-gladysiewski_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_ch-gladysiewski_gold,aged-hand_choose,indoor_pool,aged-hand_ch-gladysiewski_gold,diffusion,24,40,0.6,aged-hand_choose|indoor_pool_4k|aged-hand_ch-gladysiewski_gold|diffusion,indoor_pool_4k,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold/indoor_pool_4k_059_restored.png,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold/indoor_pool_4k_059_mask_restored.png,0.0335181206464767,0.7365912199020386,12.840006921059748,1150,47,94,metric_results_aged-hand_choose.csv
ring,aesthetic,aged-hand_choose_aged-hand_ch-gladysiewski_gold_indoor_pool_4k: In which picture does the jewelry look the most attractive?,aged-hand_choose|indoor_pool|aged-hand_ch-gladysiewski_gold,aged-hand_choose,indoor_pool,aged-hand_ch-gladysiewski_gold,diffusion,8,40,0.2,aged-hand_choose|indoor_pool_4k|aged-hand_ch-gladysiewski_gold|diffusion,indoor_pool_4k,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold/indoor_pool_4k_059_restored.png,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold/indoor_pool_4k_059_mask_restored.png,0.0335181206464767,0.7365912199020386,12.840006921059748,1150,47,94,metric_results_aged-hand_choose.csv
ring,identity,aged-hand_choose_aged-hand_ch-gladysiewski_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_ch-gladysiewski_gold,aged-hand_choose,indoor_pool,aged-hand_ch-gladysiewski_gold,hist,14,40,0.35,aged-hand_choose|indoor_pool_4k|aged-hand_ch-gladysiewski_gold|hist,indoor_pool_4k,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold_hist.png,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold/indoor_pool_4k_059_mask_restored.png,0.0488010346889495,0.7340846061706543,11.223938338410864,1150,47,94,metric_results_aged-hand_choose.csv
ring,aesthetic,aged-hand_choose_aged-hand_ch-gladysiewski_gold_indoor_pool_4k: In which picture does the jewelry look the most attractive?,aged-hand_choose|indoor_pool|aged-hand_ch-gladysiewski_gold,aged-hand_choose,indoor_pool,aged-hand_ch-gladysiewski_gold,hist,8,40,0.2,aged-hand_choose|indoor_pool_4k|aged-hand_ch-gladysiewski_gold|hist,indoor_pool_4k,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold_hist.png,./his2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose/indoor_pool_4k/aged-hand_ch-gladysiewski_gold/indoor_pool_4k_059_mask_restored.png,0.0488010346889495,0.7340846061706543,11.223938338410864,1150,47,94,metric_results_aged-hand_choose.csv
