sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,hist_chi2_fg_boundary,hist_chi2_fg_fg,mask_pixels,crop_h,crop_w
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_gold|composite,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_gold,composite,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_composite.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.20150208473205566,0.26511237025260925,7.820287129112319,0.5728463459613149,0.48627732358682163,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_gold|diffusion,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_gold,diffusion,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.06430286914110184,0.46358969807624817,15.488028050048513,0.45719707165772416,0.20004809369937185,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_gold|hist,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_gold,hist,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_hist.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.19367705285549164,0.3341743052005768,11.065249096662082,0.3198982466590444,0.288030433095098,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_silver|composite,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_silver,composite,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_composite.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.2011067122220993,0.2754870057106018,6.564405683474005,0.5974728831714953,0.49732639100070175,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_silver|diffusion,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_silver,diffusion,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.06209448352456093,0.46341046690940857,14.710565361147232,0.4544971873178959,0.22541687404304905,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_silver|hist,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_silver,hist,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_hist.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.20211897790431976,0.3444695770740509,9.830706816822305,0.31885203876519463,0.2788676107292545,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_golden-ring-test_gold|composite,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_golden-ring-test_gold,composite,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_composite.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.2977742850780487,0.15010403096675873,6.846481386713458,0.9570449438883095,0.6240931375181774,1834,58,96
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_golden-ring-test_gold|diffusion,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_golden-ring-test_gold,diffusion,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.27889689803123474,0.09966297447681427,10.689445007110036,0.3110942171741383,0.33636517278251576,1834,58,96
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_golden-ring-test_gold|hist,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_golden-ring-test_gold,hist,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_hist.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.23080676794052124,0.18285933136940002,11.065942899422751,0.38663394331077316,0.16384919584530938,1834,58,96
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_golden-ring-test_silver|composite,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_golden-ring-test_silver,composite,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_silver_composite.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_silver_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.34363853931427,0.16607867181301117,5.410450296034554,0.9711517071017399,0.6376488423468565,1834,58,96
