category,task,question_text,question_key,hand_name,hdr_key,jewelry_name,method,votes,total_votes,vote_share
ring,identity,aged-hand_choose_aged-hand_golden-ring-test_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_golden-ring-test_gold,aged-hand_choose,indoor_pool,aged-hand_golden-ring-test_gold,diffusion,25,40,0.625
ring,identity,aged-hand_choose_aged-hand_golden-ring-test_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_golden-ring-test_gold,aged-hand_choose,indoor_pool,aged-hand_golden-ring-test_gold,hist,6,40,0.15
ring,identity,aged-hand_choose_aged-hand_golden-ring-test_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_golden-ring-test_gold,aged-hand_choose,indoor_pool,aged-hand_golden-ring-test_gold,composite,9,40,0.225
ring,identity,aged-hand_choose_aged-hand_ch-gladysiewski_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_ch-gladysiewski_gold,aged-hand_choose,indoor_pool,aged-hand_ch-gladysiewski_gold,diffusion,24,40,0.6
ring,identity,aged-hand_choose_aged-hand_ch-gladysiewski_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_ch-gladysiewski_gold,aged-hand_choose,indoor_pool,aged-hand_ch-gladysiewski_gold,hist,14,40,0.35
ring,identity,aged-hand_choose_aged-hand_ch-gladysiewski_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_ch-gladysiewski_gold,aged-hand_choose,indoor_pool,aged-hand_ch-gladysiewski_gold,composite,2,40,0.05
ring,identity,aged-hand_choose_aged-hand_ch-gladysiewski_silver_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_ch-gladysiewski_silver,aged-hand_choose,indoor_pool,aged-hand_ch-gladysiewski_silver,diffusion,21,40,0.525
ring,identity,aged-hand_choose_aged-hand_ch-gladysiewski_silver_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_ch-gladysiewski_silver,aged-hand_choose,indoor_pool,aged-hand_ch-gladysiewski_silver,hist,17,40,0.425
ring,identity,aged-hand_choose_aged-hand_ch-gladysiewski_silver_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_ch-gladysiewski_silver,aged-hand_choose,indoor_pool,aged-hand_ch-gladysiewski_silver,composite,2,40,0.05
ring,identity,aged-hand_choose_aged-hand_silver-moon-ring_silver_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_silver-moon-ring_silver,aged-hand_choose,indoor_pool,aged-hand_silver-moon-ring_silver,diffusion,26,40,0.65
ring,identity,aged-hand_choose_aged-hand_silver-moon-ring_silver_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_silver-moon-ring_silver,aged-hand_choose,indoor_pool,aged-hand_silver-moon-ring_silver,hist,7,40,0.175
ring,identity,aged-hand_choose_aged-hand_silver-moon-ring_silver_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_silver-moon-ring_silver,aged-hand_choose,indoor_pool,aged-hand_silver-moon-ring_silver,composite,7,40,0.175
ring,identity,aged-hand_choose_aged-hand_riccardoferrari-ring_silver_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_riccardoferrari-ring_silver,aged-hand_choose,indoor_pool,aged-hand_riccardoferrari-ring_silver,diffusion,19,40,0.475
ring,identity,aged-hand_choose_aged-hand_riccardoferrari-ring_silver_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_riccardoferrari-ring_silver,aged-hand_choose,indoor_pool,aged-hand_riccardoferrari-ring_silver,hist,19,40,0.475
ring,identity,aged-hand_choose_aged-hand_riccardoferrari-ring_silver_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_riccardoferrari-ring_silver,aged-hand_choose,indoor_pool,aged-hand_riccardoferrari-ring_silver,composite,2,40,0.05
ring,identity,aged-hand_choose_aged-hand_silver-moon-ring_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_silver-moon-ring_gold,aged-hand_choose,indoor_pool,aged-hand_silver-moon-ring_gold,diffusion,14,40,0.35
ring,identity,aged-hand_choose_aged-hand_silver-moon-ring_gold_indoor_pool_4k: Which one do you think is more like the sample?,aged-hand_choose|indoor_pool|aged-hand_silver-moon-ring_gold,aged-hand_choose,indoor_pool,aged-hand_silver-moon-ring_gold,hist,20,40,0.5
