sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,mask_pixels,crop_h,crop_w
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_gold|composite,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_gold,composite,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold_composite.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.15392769873142242,0.36010003089904785,4.153963805190263,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_gold|diffusion,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_gold,diffusion,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.1299849897623062,0.5084125399589539,10.696858056694204,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_gold|hist,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_gold,hist,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold_hist.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.10423516482114792,0.4624277651309967,7.704937365221979,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_silver|composite,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_silver,composite,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver_composite.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.1881103217601776,0.36021625995635986,2.9112172023866356,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_silver|diffusion,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_silver,diffusion,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.15884681046009064,0.4940912127494812,9.250418983591619,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_ch-gladysiewski_silver|hist,young-hand_rotate,cinema_hall_4k,young-hand_ch-gladysiewski_silver,hist,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver_hist.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.1185583621263504,0.46827515959739685,6.472256833579037,1853,73,110
young-hand_rotate|cinema_hall_4k|young-hand_golden-ring-test_gold|composite,young-hand_rotate,cinema_hall_4k,young-hand_golden-ring-test_gold,composite,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold_composite.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.19108685851097107,0.17070476710796356,2.4790129690817424,2739,84,107
young-hand_rotate|cinema_hall_4k|young-hand_golden-ring-test_gold|diffusion,young-hand_rotate,cinema_hall_4k,young-hand_golden-ring-test_gold,diffusion,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.18088361620903015,0.18456503748893738,7.02568877560057,2739,84,107
young-hand_rotate|cinema_hall_4k|young-hand_golden-ring-test_gold|hist,young-hand_rotate,cinema_hall_4k,young-hand_golden-ring-test_gold,hist,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold_hist.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.20627161860466003,0.2651814818382263,5.9297248063687205,2739,84,107
young-hand_rotate|cinema_hall_4k|young-hand_golden-ring-test_silver|composite,young-hand_rotate,cinema_hall_4k,young-hand_golden-ring-test_silver,composite,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_silver_composite.png,./his2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_silver_gt.png,./restore2/young-hand_rotate/cinema_hall_4k/young-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.24891000986099243,0.1685626208782196,0.9574837549222809,2739,84,107
