sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,hist_chi2_fg_boundary,hist_chi2_fg_fg,mask_pixels,crop_h,crop_w
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_gold|composite,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_gold,composite,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_composite.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.14646553993225098,0.3520105481147766,8.423835458212,0.5436473591655857,0.427209530757662,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_gold|diffusion,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_gold,diffusion,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.18700307607650757,0.3457789719104767,14.289203660447505,0.5945615081789486,0.24994610895396607,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_gold|hist,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_gold,hist,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_hist.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.10088776797056198,0.39518335461616516,10.993762112764127,0.41095696806329907,0.3119761966780846,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_silver|composite,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_silver,composite,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_composite.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.16172049939632416,0.3740857243537903,7.40567327318459,0.5809915533751778,0.4433927072557026,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_silver|diffusion,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_silver,diffusion,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.17268824577331543,0.3581632673740387,13.788113707371462,0.5677236402303083,0.22219255278403183,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_silver|hist,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_silver,hist,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_hist.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.10316378623247147,0.41475874185562134,10.34504879136927,0.3939747575088569,0.3421097159576001,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_golden-ring-test_gold|composite,light-skin-hand,cinema_hall_4k,light-skin-hand_golden-ring-test_gold,composite,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_composite.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.3546242415904999,0.12649454176425934,7.642563978137923,0.8465904574653629,0.648772693215832,1878,57,98
light-skin-hand|cinema_hall_4k|light-skin-hand_golden-ring-test_gold|diffusion,light-skin-hand,cinema_hall_4k,light-skin-hand_golden-ring-test_gold,diffusion,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.21995580196380615,0.08440543711185455,11.024712172922941,0.42330056496047624,0.40702999183715943,1878,57,98
light-skin-hand|cinema_hall_4k|light-skin-hand_golden-ring-test_gold|hist,light-skin-hand,cinema_hall_4k,light-skin-hand_golden-ring-test_gold,hist,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_hist.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.2053636610507965,0.11017215996980667,10.60619031540181,0.4456734846726167,0.17162484810276207,1878,57,98
light-skin-hand|cinema_hall_4k|light-skin-hand_golden-ring-test_silver|composite,light-skin-hand,cinema_hall_4k,light-skin-hand_golden-ring-test_silver,composite,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_silver_composite.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_silver_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.47898057103157043,0.1457219272851944,6.076476032577228,0.9067167287592393,0.672521503088779,1878,57,98
