sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,mask_pixels,crop_h,crop_w
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_gold|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_gold,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold/cinema_hall_4k_059_mask_restored.png,0.07079441100358963,0.08605261892080307,1.5852416659620792,1361,251,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_gold|diffusion,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_gold,diffusion,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold/cinema_hall_4k_059_restored.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold/cinema_hall_4k_059_mask_restored.png,0.06865206360816956,0.08606307953596115,3.66924338692269,1361,251,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_gold|hist,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_gold,hist,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold_hist.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold/cinema_hall_4k_059_mask_restored.png,0.06842157989740372,0.1880297213792801,4.8663289973801085,1361,251,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_gold|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_gold,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold/cinema_hall_4k_059_mask_restored.png,0.0728505328297615,0.1547597348690033,2.362847796870289,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_gold|diffusion,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_gold,diffusion,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold/cinema_hall_4k_059_restored.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold/cinema_hall_4k_059_mask_restored.png,0.07530847936868668,0.06386648118495941,3.6129555364725596,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_gold|hist,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_gold,hist,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold_hist.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold/cinema_hall_4k_059_mask_restored.png,0.06180552393198013,0.26667454838752747,5.563782963190911,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_silver|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_silver,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver/cinema_hall_4k_059_mask_restored.png,0.08342801779508591,0.20886901021003723,0.8781766050576255,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_silver|diffusion,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_silver,diffusion,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver/cinema_hall_4k_059_restored.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver/cinema_hall_4k_059_mask_restored.png,0.07659697532653809,0.1055840477347374,2.8408275167297665,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_silver|hist,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_silver,hist,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver_hist.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver/cinema_hall_4k_059_mask_restored.png,0.08324357867240906,0.19034108519554138,2.73740550560448,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum2_gold|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum2_gold,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold/cinema_hall_4k_059_mask_restored.png,0.07745732367038727,0.1531231552362442,2.2415103887720638,1355,227,185
