sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,mask_pixels,crop_h,crop_w
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_gold|composite,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_gold,composite,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_composite.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.15261924266815186,0.3520105481147766,3.652623023640377,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_gold|diffusion,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_gold,diffusion,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.12678250670433044,0.3457789719104767,9.517991205753821,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_gold|hist,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_gold,hist,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_hist.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.11532993614673615,0.39518335461616516,6.222549509989755,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_silver|composite,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_silver,composite,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_composite.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.17229485511779785,0.3740857243537903,2.63446059780881,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_silver|diffusion,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_silver,diffusion,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.11986634135246277,0.3581632673740387,9.01690106207001,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_ch-gladysiewski_silver|hist,light-skin-hand,cinema_hall_4k,light-skin-hand_ch-gladysiewski_silver,hist,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_hist.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.13017678260803223,0.41475874185562134,5.573836111467536,1415,63,99
light-skin-hand|cinema_hall_4k|light-skin-hand_golden-ring-test_gold|composite,light-skin-hand,cinema_hall_4k,light-skin-hand_golden-ring-test_gold,composite,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_composite.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.16189096868038177,0.12649454176425934,2.871351598080496,1878,57,98
light-skin-hand|cinema_hall_4k|light-skin-hand_golden-ring-test_gold|diffusion,light-skin-hand,cinema_hall_4k,light-skin-hand_golden-ring-test_gold,diffusion,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.17934098839759827,0.08440543711185455,6.253499599257765,1878,57,98
light-skin-hand|cinema_hall_4k|light-skin-hand_golden-ring-test_gold|hist,light-skin-hand,cinema_hall_4k,light-skin-hand_golden-ring-test_gold,hist,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_hist.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.15951557457447052,0.11017215996980667,5.834977592286961,1878,57,98
light-skin-hand|cinema_hall_4k|light-skin-hand_golden-ring-test_silver|composite,light-skin-hand,cinema_hall_4k,light-skin-hand_golden-ring-test_silver,composite,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_silver_composite.png,./his2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_silver_gt.png,./restore2/light-skin-hand/cinema_hall_4k/light-skin-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.19472581148147583,0.1457219272851944,1.3052634325100911,1878,57,98
