sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,mask_pixels,crop_h,crop_w
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_gold|composite,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_gold,composite,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_composite.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.13485215604305267,0.26511237025260925,3.0490744677365984,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_gold|diffusion,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_gold,diffusion,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.07282384485006332,0.46358969807624817,10.716815505721375,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_gold|hist,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_gold,hist,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_hist.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.11887113004922867,0.3341743052005768,6.294036570193411,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_silver|composite,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_silver,composite,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_composite.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.13289892673492432,0.2754870057106018,1.793192988374476,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_silver|diffusion,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_silver,diffusion,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.06288415938615799,0.46341046690940857,9.939352924997152,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_ch-gladysiewski_silver|hist,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_ch-gladysiewski_silver,hist,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_hist.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.12995892763137817,0.3444695770740509,5.059494096697456,931,46,84
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_golden-ring-test_gold|composite,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_golden-ring-test_gold,composite,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_composite.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.21202243864536285,0.15010403096675873,2.075268992470979,1834,58,96
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_golden-ring-test_gold|diffusion,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_golden-ring-test_gold,diffusion,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.22234565019607544,0.09966297447681427,5.918232673867243,1834,58,96
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_golden-ring-test_gold|hist,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_golden-ring-test_gold,hist,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_hist.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.1823461800813675,0.18285933136940002,6.29473024097361,1834,58,96
dark-skin-hand_rotate|cinema_hall_4k|dark-skin-hand_golden-ring-test_silver|composite,dark-skin-hand_rotate,cinema_hall_4k,dark-skin-hand_golden-ring-test_silver,composite,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_silver_composite.png,./his2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_silver_gt.png,./restore2/dark-skin-hand_rotate/cinema_hall_4k/dark-skin-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.24388733506202698,0.16607867181301117,0.6392377164596288,1834,58,96
