sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,hist_chi2_fg_boundary,hist_chi2_fg_fg,mask_pixels,crop_h,crop_w
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_gold|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_gold,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold/cinema_hall_4k_059_mask_restored.png,0.22093497216701508,0.08605261892080307,6.356454207678956,0.7842828358870005,0.6078198970950761,1361,251,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_gold|diffusion,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_gold,diffusion,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold/cinema_hall_4k_059_restored.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold/cinema_hall_4k_059_mask_restored.png,0.345227986574173,0.08606307953596115,8.440455969979757,0.6036709634357611,0.3134027948035799,1361,251,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_gold|hist,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_gold,hist,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold_hist.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_gold/cinema_hall_4k_059_mask_restored.png,0.20547564327716827,0.1880297213792801,9.637541385646804,0.5687783168993059,0.29822617603696266,1361,251,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_gold|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_gold,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold/cinema_hall_4k_059_mask_restored.png,0.21573379635810852,0.1547597348690033,7.134060132454093,0.7877874931900646,0.5259736189955222,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_gold|diffusion,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_gold,diffusion,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold/cinema_hall_4k_059_restored.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold/cinema_hall_4k_059_mask_restored.png,0.2692415714263916,0.06386648118495941,8.384168085405781,0.5859479747839466,0.2534221155563272,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_gold|hist,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_gold,hist,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold_hist.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_gold/cinema_hall_4k_059_mask_restored.png,0.19987601041793823,0.26667454838752747,10.334995611757297,0.44932642528929345,0.2609359687470142,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_silver|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_silver,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver/cinema_hall_4k_059_mask_restored.png,0.22256691753864288,0.20886901021003723,5.649389235519542,0.8113097235266311,0.5460991337878159,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_silver|diffusion,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_silver,diffusion,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver/cinema_hall_4k_059_restored.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver/cinema_hall_4k_059_mask_restored.png,0.2361939400434494,0.1055840477347374,7.612040048662125,0.6157977529057174,0.23906163176259285,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum1_silver|hist,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum1_silver,hist,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver_hist.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum1_silver/cinema_hall_4k_059_mask_restored.png,0.18787246942520142,0.19034108519554138,7.508618028669105,0.5391660400817346,0.4141471962751755,1370,236,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum2_gold|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum2_gold,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold/cinema_hall_4k_059_mask_restored.png,0.21267828345298767,0.1531231552362442,7.0127228082515884,0.8234185554048907,0.5195728624899797,1355,227,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum2_gold|diffusion,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum2_gold,diffusion,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold/cinema_hall_4k_059_restored.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold/cinema_hall_4k_059_mask_restored.png,0.2931930422782898,0.0882367193698883,8.282813872386637,0.6086271661486556,0.2709826116763798,1355,227,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum2_gold|hist,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum2_gold,hist,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold_hist.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_gold/cinema_hall_4k_059_mask_restored.png,0.19205448031425476,0.20341460406780243,9.593170718673855,0.5141875130864917,0.3073222260174776,1355,227,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum2_silver|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum2_silver,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_silver_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_silver/cinema_hall_4k_059_mask_restored.png,0.22903741896152496,0.21265509724617004,5.533345436790413,0.8467622691015972,0.5520833467824179,1355,227,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum2_silver|diffusion,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum2_silver,diffusion,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_silver/cinema_hall_4k_059_restored.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_silver/cinema_hall_4k_059_mask_restored.png,0.2636737525463104,0.1007271409034729,7.5428467607109155,0.5937186039189115,0.21297576393544967,1355,227,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum2_silver|hist,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum2_silver,hist,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_silver_hist.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum2_silver/cinema_hall_4k_059_mask_restored.png,0.1899091601371765,0.13824672996997833,7.00622297561817,0.5300509164646575,0.45951171846346145,1355,227,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum3_gold|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum3_gold,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_gold_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_gold/cinema_hall_4k_059_mask_restored.png,0.20088769495487213,0.12842203676700592,6.742610771497222,0.8297217488916514,0.5783795989670989,1273,228,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum3_gold|diffusion,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum3_gold,diffusion,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_gold/cinema_hall_4k_059_restored.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_gold/cinema_hall_4k_059_mask_restored.png,0.35763058066368103,0.07305259257555008,8.643451745669676,0.5753531241940377,0.28127251432126743,1273,228,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum3_gold|hist,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum3_gold,hist,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_gold_hist.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_gold/cinema_hall_4k_059_mask_restored.png,0.19211743772029877,0.22738634049892426,9.932449537842711,0.488002868882903,0.29798794990609145,1273,228,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum3_silver|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum3_silver,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_silver_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_silver/cinema_hall_4k_059_mask_restored.png,0.21558991074562073,0.1873290091753006,5.2604406927815495,0.8528273809999491,0.6144559753376717,1273,228,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum3_silver|diffusion,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum3_silver,diffusion,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_silver/cinema_hall_4k_059_restored.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_silver/cinema_hall_4k_059_mask_restored.png,0.2649781405925751,0.11774284392595291,7.537086521976826,0.6062856224697837,0.24926618725490463,1273,228,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum3_silver|hist,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum3_silver,hist,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_silver_hist.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_silver_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum3_silver/cinema_hall_4k_059_mask_restored.png,0.19387534260749817,0.16336263716220856,7.145432097722787,0.5522729454096125,0.43914507840339256,1273,228,185
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum4_gold|composite,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum4_gold,composite,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum4_gold_composite.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum4_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum4_gold/cinema_hall_4k_059_mask_restored.png,0.1837591826915741,0.22203534841537476,7.592118230004765,0.6859275409957049,0.4283770259680174,1515,238,186
whitegirl_newnecklaces|cinema_hall_4k|whitegirl-circletriangle_pendulum4_gold|diffusion,whitegirl_newnecklaces,cinema_hall_4k,whitegirl-circletriangle_pendulum4_gold,diffusion,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum4_gold/cinema_hall_4k_059_restored.png,./his3/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum4_gold_gt.png,./restore2/whitegirl_newnecklaces/cinema_hall_4k/whitegirl-circletriangle_pendulum4_gold/cinema_hall_4k_059_mask_restored.png,0.2814745008945465,0.06524093449115753,8.972996186454655,0.589583240627976,0.24128636428570324,1515,238,186
