sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,hist_chi2_fg_boundary,hist_chi2_fg_fg,mask_pixels,crop_h,crop_w
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|composite,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,composite,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_composite.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.27176567912101746,0.3033451735973358,7.7109539854298035,0.5252447883448261,0.4262925419918797,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|diffusion,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,diffusion,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.18168789148330688,0.3829819858074188,15.280176257545923,0.6287320399078545,0.2392588632684103,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_gold|hist,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_gold,hist,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_hist.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.19995620846748352,0.39433756470680237,11.442000098262483,0.37681821937184334,0.3184943180952358,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|composite,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,composite,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_composite.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.2562643885612488,0.32406774163246155,6.745346902967171,0.5592062391744836,0.4543964352005811,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|diffusion,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,diffusion,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.17674995958805084,0.33943480253219604,14.297323214760652,0.6526098316436386,0.2957467062818823,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_ch-gladysiewski_silver|hist,aged-hand_choose,cinema_hall_4k,aged-hand_ch-gladysiewski_silver,hist,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_hist.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.1726502925157547,0.36123237013816833,9.503260645806398,0.4617483102327571,0.37169296268117097,1150,47,94
aged-hand_choose|cinema_hall_4k|aged-hand_golden-ring-test_gold|composite,aged-hand_choose,cinema_hall_4k,aged-hand_golden-ring-test_gold,composite,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold_composite.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.4500734210014343,0.12483346462249756,7.0206245867523585,0.7976288202470048,0.6347785743003092,1908,54,99
aged-hand_choose|cinema_hall_4k|aged-hand_golden-ring-test_gold|diffusion,aged-hand_choose,cinema_hall_4k,aged-hand_golden-ring-test_gold,diffusion,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.25114935636520386,0.11916958540678024,11.218293331547649,0.49888573209861753,0.39907595055711476,1908,54,99
aged-hand_choose|cinema_hall_4k|aged-hand_golden-ring-test_gold|hist,aged-hand_choose,cinema_hall_4k,aged-hand_golden-ring-test_gold,hist,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold_hist.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.31796208024024963,0.13346445560455322,10.787973387765868,0.30600837774134315,0.15854294482714118,1908,54,99
aged-hand_choose|cinema_hall_4k|aged-hand_golden-ring-test_silver|composite,aged-hand_choose,cinema_hall_4k,aged-hand_golden-ring-test_silver,composite,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver_composite.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.5396451950073242,0.13391157984733582,5.538993710399627,0.857276139193955,0.6553950334207734,1908,54,99
aged-hand_choose|cinema_hall_4k|aged-hand_golden-ring-test_silver|diffusion,aged-hand_choose,cinema_hall_4k,aged-hand_golden-ring-test_silver,diffusion,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.19826768338680267,0.061009347438812256,10.366304869103853,0.5038978330741085,0.45507597431861235,1908,54,99
aged-hand_choose|cinema_hall_4k|aged-hand_golden-ring-test_silver|hist,aged-hand_choose,cinema_hall_4k,aged-hand_golden-ring-test_silver,hist,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver_hist.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.37443646788597107,0.09699942171573639,8.44555952712849,0.37244195244745326,0.3186111409534824,1908,54,99
aged-hand_choose|cinema_hall_4k|aged-hand_riccardoferrari-ring_gold|composite,aged-hand_choose,cinema_hall_4k,aged-hand_riccardoferrari-ring_gold,composite,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold_composite.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold/cinema_hall_4k_059_mask_restored.png,0.3753295838832855,0.1555282324552536,7.221119088292987,0.6532643381333929,0.7577508578215192,2021,71,97
aged-hand_choose|cinema_hall_4k|aged-hand_riccardoferrari-ring_gold|diffusion,aged-hand_choose,cinema_hall_4k,aged-hand_riccardoferrari-ring_gold,diffusion,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold/cinema_hall_4k_059_restored.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold/cinema_hall_4k_059_mask_restored.png,0.22374802827835083,0.3103232979774475,13.603848747690419,0.3202042346304719,0.17224317907550918,2021,71,97
aged-hand_choose|cinema_hall_4k|aged-hand_riccardoferrari-ring_gold|hist,aged-hand_choose,cinema_hall_4k,aged-hand_riccardoferrari-ring_gold,hist,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold_hist.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_gold/cinema_hall_4k_059_mask_restored.png,0.318182110786438,0.33165284991264343,12.45382710451426,0.27229359838829276,0.12827944532644583,2021,71,97
aged-hand_choose|cinema_hall_4k|aged-hand_riccardoferrari-ring_silver|composite,aged-hand_choose,cinema_hall_4k,aged-hand_riccardoferrari-ring_silver,composite,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_silver_composite.png,./his2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_silver_gt.png,./restore2/aged-hand_choose/cinema_hall_4k/aged-hand_riccardoferrari-ring_silver/cinema_hall_4k_059_mask_restored.png,0.3486050069332123,0.20294414460659027,5.5992459287761935,0.7465146401826597,0.7239086650404523,2021,71,97
