sample_id,hand_name,hdr_name,jewelry_name,method,pred_path,gt_path,mask_path,masked_lpips,masked_ssim,masked_psnr,mask_pixels,crop_h,crop_w
light-skin-hand_rotate|cinema_hall_4k|light-skin-hand_ch-gladysiewski_gold|composite,light-skin-hand_rotate,cinema_hall_4k,light-skin-hand_ch-gladysiewski_gold,composite,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_composite.png,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.17312268912792206,0.22950232028961182,3.204084107984748,2771,110,114
light-skin-hand_rotate|cinema_hall_4k|light-skin-hand_ch-gladysiewski_gold|diffusion,light-skin-hand_rotate,cinema_hall_4k,light-skin-hand_ch-gladysiewski_gold,diffusion,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_restored.png,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.11920545995235443,0.3364429473876953,8.66481387083839,2771,110,114
light-skin-hand_rotate|cinema_hall_4k|light-skin-hand_ch-gladysiewski_gold|hist,light-skin-hand_rotate,cinema_hall_4k,light-skin-hand_ch-gladysiewski_gold,hist,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_hist.png,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold_gt.png,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_gold/cinema_hall_4k_059_mask_restored.png,0.11579766869544983,0.24908123910427094,5.355506285232523,2771,110,114
light-skin-hand_rotate|cinema_hall_4k|light-skin-hand_ch-gladysiewski_silver|composite,light-skin-hand_rotate,cinema_hall_4k,light-skin-hand_ch-gladysiewski_silver,composite,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_composite.png,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.1868308037519455,0.2410295158624649,2.0223663306670345,2771,110,114
light-skin-hand_rotate|cinema_hall_4k|light-skin-hand_ch-gladysiewski_silver|diffusion,light-skin-hand_rotate,cinema_hall_4k,light-skin-hand_ch-gladysiewski_silver,diffusion,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_restored.png,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.11815778911113739,0.32535162568092346,8.206700697563665,2771,110,114
light-skin-hand_rotate|cinema_hall_4k|light-skin-hand_ch-gladysiewski_silver|hist,light-skin-hand_rotate,cinema_hall_4k,light-skin-hand_ch-gladysiewski_silver,hist,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_hist.png,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver_gt.png,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_ch-gladysiewski_silver/cinema_hall_4k_059_mask_restored.png,0.11683642119169235,0.2975369393825531,5.337016951251706,2771,110,114
light-skin-hand_rotate|cinema_hall_4k|light-skin-hand_golden-ring-test_gold|composite,light-skin-hand_rotate,cinema_hall_4k,light-skin-hand_golden-ring-test_gold,composite,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_composite.png,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_gt.png,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.17445345222949982,0.09197798371315002,2.1573209778606257,3606,97,116
light-skin-hand_rotate|cinema_hall_4k|light-skin-hand_golden-ring-test_gold|diffusion,light-skin-hand_rotate,cinema_hall_4k,light-skin-hand_golden-ring-test_gold,diffusion,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_restored.png,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_gt.png,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.16870594024658203,0.18705317378044128,6.073614357855778,3606,97,116
light-skin-hand_rotate|cinema_hall_4k|light-skin-hand_golden-ring-test_gold|hist,light-skin-hand_rotate,cinema_hall_4k,light-skin-hand_golden-ring-test_gold,hist,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_hist.png,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_gold_gt.png,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_gold/cinema_hall_4k_059_mask_restored.png,0.16518744826316833,0.10286469757556915,5.019522510311178,3606,97,116
light-skin-hand_rotate|cinema_hall_4k|light-skin-hand_golden-ring-test_silver|composite,light-skin-hand_rotate,cinema_hall_4k,light-skin-hand_golden-ring-test_silver,composite,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_silver_composite.png,./his2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_silver_gt.png,./restore2/light-skin-hand_rotate/cinema_hall_4k/light-skin-hand_golden-ring-test_silver/cinema_hall_4k_059_mask_restored.png,0.19912786781787872,0.0998103991150856,0.7461643197187308,3606,97,116
