level,category,task,metric,method,n_rows,spearman_rho,p_value,hdr_key
overall,necklace,aesthetic,masked_lpips,ALL,432,0.24083726081061826,4.063427195820418e-07,
per_method,necklace,aesthetic,masked_lpips,composite,144,-0.5297301459919942,8.666766801655444e-12,
per_method,necklace,aesthetic,masked_lpips,diffusion,144,0.5418039855301721,2.3384136162709726e-12,
per_method,necklace,aesthetic,masked_lpips,hist,144,0.14267392783099722,0.08802595024031745,
overall,necklace,identity,masked_lpips,ALL,432,0.1681071124451459,0.0004499301987312335,
per_method,necklace,identity,masked_lpips,composite,144,0.1265190073026877,0.130769333724153,
per_method,necklace,identity,masked_lpips,diffusion,144,0.6122344653402866,3.5402594567497645e-16,
per_method,necklace,identity,masked_lpips,hist,144,-0.018268381269420125,0.8279526517975704,
overall,ring,aesthetic,masked_lpips,ALL,576,-0.2324573617165427,1.6580001995530178e-08,
per_method,ring,aesthetic,masked_lpips,composite,192,-0.14908068499243537,0.03903852649998012,
per_method,ring,aesthetic,masked_lpips,diffusion,192,0.42406667012320304,8.82119687911577e-10,
per_method,ring,aesthetic,masked_lpips,hist,192,-0.16409694019321044,0.022942798318860178,
overall,ring,identity,masked_lpips,ALL,576,0.3657246373662299,1.1411702656546866e-19,
per_method,ring,identity,masked_lpips,composite,192,0.22188576790171183,0.0019806926514538397,
per_method,ring,identity,masked_lpips,diffusion,192,0.0077294019033343694,0.9152618607925831,
per_method,ring,identity,masked_lpips,hist,192,0.2748800410878286,0.00011405117415850122,
overall_by_lighting,necklace,aesthetic,masked_lpips,ALL,144,0.1410651996717617,0.09170470453018412,cinema_hall
overall_by_lighting,necklace,aesthetic,masked_lpips,ALL,144,0.35216755421318274,1.5000582913909032e-05,indoor_pool
overall_by_lighting,necklace,aesthetic,masked_lpips,ALL,144,0.3781257484587788,2.9735020665303448e-06,industrial_pipe
overall_by_lighting,necklace,identity,masked_lpips,ALL,144,0.43286261830226175,6.009574794565295e-08,cinema_hall
overall_by_lighting,necklace,identity,masked_lpips,ALL,144,0.05134085625869468,0.5411174788638489,indoor_pool
overall_by_lighting,necklace,identity,masked_lpips,ALL,144,0.1189946415699145,0.15544963184831415,industrial_pipe
overall_by_lighting,ring,aesthetic,masked_lpips,ALL,192,-0.491064142220505,4.776874583701141e-13,cinema_hall
overall_by_lighting,ring,aesthetic,masked_lpips,ALL,192,-0.05145840658734043,0.47842232974954935,indoor_pool
overall_by_lighting,ring,aesthetic,masked_lpips,ALL,192,-0.3547417643592113,4.4527654481857427e-07,industrial_pipe
overall_by_lighting,ring,identity,masked_lpips,ALL,192,0.5025113079340638,1.1129599267309498e-13,cinema_hall
overall_by_lighting,ring,identity,masked_lpips,ALL,192,0.32092500265332174,5.666727441656679e-06,indoor_pool
overall_by_lighting,ring,identity,masked_lpips,ALL,192,0.41994183097893056,1.331399192590176e-09,industrial_pipe
per_method_by_lighting,necklace,aesthetic,masked_lpips,composite,48,0.05665007906005318,0.7021313943370375,cinema_hall
per_method_by_lighting,necklace,aesthetic,masked_lpips,diffusion,48,0.3675148037574777,0.010177969264632731,cinema_hall
per_method_by_lighting,necklace,aesthetic,masked_lpips,hist,48,0.150291485431307,0.3079140770579102,cinema_hall
per_method_by_lighting,necklace,aesthetic,masked_lpips,composite,48,0.31603074676540055,0.02865275443213164,indoor_pool
per_method_by_lighting,necklace,aesthetic,masked_lpips,diffusion,48,0.11829953435686193,0.42323785443728634,indoor_pool
per_method_by_lighting,necklace,aesthetic,masked_lpips,hist,48,0.06823073791853942,0.6449468435187802,indoor_pool
per_method_by_lighting,necklace,aesthetic,masked_lpips,composite,48,-0.2903836768705101,0.045265587069925714,industrial_pipe
per_method_by_lighting,necklace,aesthetic,masked_lpips,diffusion,48,-0.31146406777576563,0.031167734405008453,industrial_pipe
per_method_by_lighting,necklace,aesthetic,masked_lpips,hist,48,0.323604648200858,0.024854927971093847,industrial_pipe
per_method_by_lighting,necklace,identity,masked_lpips,composite,48,0.4264304989225417,0.002508856330758727,cinema_hall
per_method_by_lighting,necklace,identity,masked_lpips,diffusion,48,0.34066346923655777,0.017820623580826322,cinema_hall
per_method_by_lighting,necklace,identity,masked_lpips,hist,48,0.2566049030136516,0.07831298773521514,cinema_hall
per_method_by_lighting,necklace,identity,masked_lpips,composite,48,0.25726567894927593,0.07752142736860365,indoor_pool
per_method_by_lighting,necklace,identity,masked_lpips,diffusion,48,0.13187876868408988,0.3715842277685354,indoor_pool
per_method_by_lighting,necklace,identity,masked_lpips,hist,48,0.11238331504184022,0.4469531430345638,indoor_pool
per_method_by_lighting,necklace,identity,masked_lpips,composite,48,0.32612299648030096,0.0236895289048857,industrial_pipe
per_method_by_lighting,necklace,identity,masked_lpips,diffusion,48,0.4437020336009917,0.0015841753874401053,industrial_pipe
per_method_by_lighting,necklace,identity,masked_lpips,hist,48,0.1863778673677076,0.20466433451143196,industrial_pipe
per_method_by_lighting,ring,aesthetic,masked_lpips,composite,64,0.10312370576806329,0.41742600459336443,cinema_hall
per_method_by_lighting,ring,aesthetic,masked_lpips,diffusion,64,-0.22661752930897122,0.0717478219391887,cinema_hall
per_method_by_lighting,ring,aesthetic,masked_lpips,hist,64,0.2370348793375112,0.05931140265456968,cinema_hall
per_method_by_lighting,ring,aesthetic,masked_lpips,composite,64,0.06250754495892731,0.623649353690408,indoor_pool
per_method_by_lighting,ring,aesthetic,masked_lpips,diffusion,64,0.49889072881251406,2.717802318760409e-05,indoor_pool
per_method_by_lighting,ring,aesthetic,masked_lpips,hist,64,-0.2590418235033666,0.03874211622919573,indoor_pool
per_method_by_lighting,ring,aesthetic,masked_lpips,composite,64,-0.04006594675368722,0.7532654935698471,industrial_pipe
per_method_by_lighting,ring,aesthetic,masked_lpips,diffusion,64,0.1318068978161725,0.29917196842007904,industrial_pipe
per_method_by_lighting,ring,aesthetic,masked_lpips,hist,64,-0.005005474637845359,0.9686872465489542,industrial_pipe
per_method_by_lighting,ring,identity,masked_lpips,composite,64,-0.1853736069358343,0.14251100505786637,cinema_hall
per_method_by_lighting,ring,identity,masked_lpips,diffusion,64,0.5441855869051478,3.353308142926728e-06,cinema_hall
per_method_by_lighting,ring,identity,masked_lpips,hist,64,-0.008039367754559369,0.9497280111941957,cinema_hall
per_method_by_lighting,ring,identity,masked_lpips,composite,64,0.0992825587625612,0.43507454934948875,indoor_pool
per_method_by_lighting,ring,identity,masked_lpips,diffusion,64,0.00889296939683151,0.9443982793300015,indoor_pool
per_method_by_lighting,ring,identity,masked_lpips,hist,64,0.3152697211553723,0.011164065899192568,indoor_pool
per_method_by_lighting,ring,identity,masked_lpips,composite,64,0.015085217774185354,0.9058221191822614,industrial_pipe
per_method_by_lighting,ring,identity,masked_lpips,diffusion,64,0.3480003526569512,0.004835573414588925,industrial_pipe
per_method_by_lighting,ring,identity,masked_lpips,hist,64,0.11823409403621407,0.35211242675197296,industrial_pipe
overall,necklace,aesthetic,masked_ssim,ALL,432,-0.015590990122288899,0.7465942292818445,
per_method,necklace,aesthetic,masked_ssim,composite,144,-0.5396867261018413,2.9534519267257096e-12,
per_method,necklace,aesthetic,masked_ssim,diffusion,144,0.5898773702632141,7.285863570420816e-15,
per_method,necklace,aesthetic,masked_ssim,hist,144,-0.4091734914992058,3.5429306245409735e-07,
overall,necklace,identity,masked_ssim,ALL,432,0.11710576780789181,0.014878209171444627,
per_method,necklace,identity,masked_ssim,composite,144,0.23797704257379682,0.004076012270643095,
per_method,necklace,identity,masked_ssim,diffusion,144,0.3659059432189219,6.482394461581378e-06,
per_method,necklace,identity,masked_ssim,hist,144,-0.40303710804339743,5.488902041720991e-07,
overall,ring,aesthetic,masked_ssim,ALL,576,-0.05059724443920555,0.2253315026736284,
per_method,ring,aesthetic,masked_ssim,composite,192,-0.11469955567107792,0.11315318619388137,
per_method,ring,aesthetic,masked_ssim,diffusion,192,0.5325578076679779,1.857120492917505e-15,
per_method,ring,aesthetic,masked_ssim,hist,192,-0.3608000318465441,2.7332717496824717e-07,
overall,ring,identity,masked_ssim,ALL,576,0.1769766170007738,1.9374658267994158e-05,
per_method,ring,identity,masked_ssim,composite,192,0.19979793684656746,0.005461487263337802,
per_method,ring,identity,masked_ssim,diffusion,192,0.010278134824447043,0.887481469174547,
per_method,ring,identity,masked_ssim,hist,192,0.26206657605334294,0.0002406831156867751,
overall_by_lighting,necklace,aesthetic,masked_ssim,ALL,144,-0.034737428705039215,0.6793568535082625,cinema_hall
overall_by_lighting,necklace,aesthetic,masked_ssim,ALL,144,0.3545983863028025,1.2967554339501088e-05,indoor_pool
overall_by_lighting,necklace,aesthetic,masked_ssim,ALL,144,-0.558938183800469,3.3233487437078737e-13,industrial_pipe
overall_by_lighting,necklace,identity,masked_ssim,ALL,144,0.3226367206534624,8.016819820602047e-05,cinema_hall
overall_by_lighting,necklace,identity,masked_ssim,ALL,144,0.012790968575889149,0.8790606636536373,indoor_pool
overall_by_lighting,necklace,identity,masked_ssim,ALL,144,0.2457794314764081,0.0029844577853568913,industrial_pipe
overall_by_lighting,ring,aesthetic,masked_ssim,ALL,192,-0.21366750489766234,0.002922509006717658,cinema_hall
overall_by_lighting,ring,aesthetic,masked_ssim,ALL,192,0.4173091005038462,1.7264796889796676e-09,indoor_pool
overall_by_lighting,ring,aesthetic,masked_ssim,ALL,192,-0.2503512959635705,0.000461335504136444,industrial_pipe
overall_by_lighting,ring,identity,masked_ssim,ALL,192,0.2821541309463307,7.340319611648216e-05,cinema_hall
overall_by_lighting,ring,identity,masked_ssim,ALL,192,-0.20582748106133197,0.004181467794865395,indoor_pool
overall_by_lighting,ring,identity,masked_ssim,ALL,192,0.307917981776117,1.3939570519345825e-05,industrial_pipe
per_method_by_lighting,necklace,aesthetic,masked_ssim,composite,48,-0.06587789916718474,0.6564149296832203,cinema_hall
per_method_by_lighting,necklace,aesthetic,masked_ssim,diffusion,48,-0.22921750428093057,0.11707942628992359,cinema_hall
per_method_by_lighting,necklace,aesthetic,masked_ssim,hist,48,0.18673737555407802,0.203776746322593,cinema_hall
per_method_by_lighting,necklace,aesthetic,masked_ssim,composite,48,0.22446559212975487,0.125079705214691,indoor_pool
per_method_by_lighting,necklace,aesthetic,masked_ssim,diffusion,48,0.1191185941377772,0.42001176519204775,indoor_pool
per_method_by_lighting,necklace,aesthetic,masked_ssim,hist,48,-0.6896207501304966,5.9264351301674526e-08,indoor_pool
per_method_by_lighting,necklace,aesthetic,masked_ssim,composite,48,-0.2871117481170396,0.04785978894784882,industrial_pipe
per_method_by_lighting,necklace,aesthetic,masked_ssim,diffusion,48,-0.1338360607188124,0.36446454578330845,industrial_pipe
per_method_by_lighting,necklace,aesthetic,masked_ssim,hist,48,0.06490629832080219,0.6611737835629099,industrial_pipe
per_method_by_lighting,necklace,identity,masked_ssim,composite,48,0.6889749148832792,6.167545120170084e-08,cinema_hall
per_method_by_lighting,necklace,identity,masked_ssim,diffusion,48,-0.04182440707856772,0.777749300125233,cinema_hall
per_method_by_lighting,necklace,identity,masked_ssim,hist,48,-0.39132791825152285,0.005952984054975716,cinema_hall
per_method_by_lighting,necklace,identity,masked_ssim,composite,48,0.0462135976687754,0.7551133994131275,indoor_pool
per_method_by_lighting,necklace,identity,masked_ssim,diffusion,48,0.13732155732148524,0.35199184552081597,indoor_pool
per_method_by_lighting,necklace,identity,masked_ssim,hist,48,-0.29513901862988007,0.04170063199003067,indoor_pool
